"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","0","0","0","0","0","0","","",
"Africa Eastern and Southern","AFE","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","380","410","360","380","430","399","370","360","317","293","240","220","172","192","203","219","247","261","334","402","460","533","677","939","1605","2188","3204","4012","4776","7349","9727","11788","14842","15150","16882","17755","17666","22692","19730","22207","24349","28099","38364","45873","42220","47453.1500015259","75908.7000007629","97740.7000007629","99535.8499755859","122165.001529694","154328.24010849","160086.562915802","181634.530700684","198789.889537811","218317.730249025","232683.830957033","236261.783691406","247566.37081299","227738.267120361","","",
"Afghanistan","AFG","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","60","60","60","60","60","60","60","170","170","170","170","170","170","170","170","170","170","170","170","170","170","300","300","300","300","300","300","300","300","300","300","300","450","450","450","450","450","450","1050","1050","1650","2250","2850","3480","4110","4760","5450","6150","7000","7950","","",
"Africa Western and Central","AFW","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","2005","2173","2361","2547","2730","2904","3088","3275","3454","3659","4003","4215","4525","4775","4909","5130","5402","5748","5999","6234","6588","6878","7250","7618","7827","8933","6572","7103","11857","26943","8425","16565","18654","18757","16440","18244","21783","25696","23779","26917","32940","32564","39341","34395","47659","60807","90503","92580","153013","164724","216749.599998474","248207.865005493","289089.799987793","321236.849975586","363206","377258.16015625","378600.630065918","372724.260192871","388010.736694336","","",
"Angola","AGO","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","11","51","72","92","126","156","190","190","260","310","310","310","57","305","872","655","1339","1752","","",
"Albania","ALB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","3","45","85","123","164","193","260","339","455","699","1162","1197","1208","2165","2368","3732","2604","4961","859","397","389","395","340","323","97","124","310","307","286","860","1473","1569","1473","2057","2092","2000","2317","2520","2345","3450","3700","4000","3495","4750","4430","6258","","",
"Andorra","AND","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","4600","5200","5200","6000","7000","6200","5904","5610","5617","5928","6046","7145","8556","10067","10873","11396","13900","16233","18554","20830","23325","25837","29390","30877","34269","49929","53736","54769","62285","69066","70522","70649","78320","65086","70944","87973","109249","105662","165476","246418","360829","364763","398297","476490","514596.400024414","590726","643697","688762.400390625","756349.131011963","771541.481544495","987749.048938513","1042809.19401956","1084322.22695303","1150420.88110352","1215108.08289433","1259349.98999023","1471832.37186623","1580578.25801086","1706436.3253479","","",
"United Arab Emirates","ARE","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","7","9","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2300","570","590","610","644","1343","130","198","415","420","780","788","790","2684.89990234375","3255","3350","","",
"Argentina","ARG","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","1","2","4","5","5","8","11","15","19","23","27","31","36","42","49","57","67","78","90","105","123","143","150","270","270","353","353","300","300","350","402","707","763","1474","1322","1314","1040","1218","1784","1340","1457","1647","1848","2057","2528","2957","2700","2582.94995117188","2654.34985351563","3193.25","2958.42016601563","3825.11987304688","4002.7099609375","3662.65014648438","3673.48486328125","3567.76000976563","3205.31005859375","","",
"Armenia","ARM","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4598","4604","5057","2637","2565","2250","1570","1120","650","670","437","889","893","1331","1020","1064","813","739","1056","3650","5100","5240","5000","6300","8850","11700","13925","15130","16381","16690","17000","","",
"American Samoa","ASM","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","5","5","5","5","10","10","10","10","10","18","18","18","18","18","20","20","20","20","20","20","20","20","","",
"Antigua and Barbuda","ATG","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","10","11","13","10","10","10","10","","",
"Australia","AUS","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","5700","6500","5800","5900","5800","6600","6800","7300","7500","7500","7021","9800","10400","9200","10484","9204","10439","11126","10236","8702","8994","9185","8841","9056","8785","9534","9083","9660","13080","13685","12401","14327","16422","18359","19129","22395","25323","26543","24570","29189","31746","35403","38566","38793","44142","42787","49376","55799","58911.69921875","70121.8515625","73827.2265625","73126.5390625","78992.1015625","76416.890625","73677.609375","83725.2109375","92449.890625","89824.921875","96798.5234375","","",
"Austria","AUT","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","650","660","670","600","680","730","750","790","740","800","870","960","1080","1300","1220","1200","1390","1600","2900","3400","3200","3200","3100","3600","4000","4100","4060","4000","4500","4450","3126","3135","3140","3140","3103","2918","2949","3018","2909","3067","2847","2393","2333","2233","2267","2420","2503","2539","2087","2141","2167","2904.30004882813","3125.5","3237","3390.30004882813","3503.39990234375","3483.39990234375","3861.60009765625","3990.60009765625","","",
"Azerbaijan","AZE","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1656","1621","1216","2176","1690","1201","1038","516","419","364","211","216","140","95","80","130","350","500","600","900","1000","1000","1000","517","366.100006103516","325","305","561","640","695","478","","",
"Burundi","BDI","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","2","2","21","25","24","25","30","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","17.2999992370605","61.7000007629395","160.399993896484","385","805","1326","1400","1470","1550","","",
"Belgium","BEL","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","4","7","12","20","32","90","147","203","255","310","440","530","600","700","735","675","846","846","846","846","846","946","846","846","1597","1871","1830","1834","1261","739","414","128","128","126","576","539","101","277","212","214","82","44","75","111","","",
"Benin","BEN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","15","11","15","14","80","","","","","","","","","","","","","","7","7","7","350","415","178","213","308","364","400","500","667","1425","4459.66015625","4207","4529.66015625","5114.13671875","","",
"Burkina Faso","BFA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","114","74","33","30","26","7","6","6","5","5","0","0","0","30","45","40","25","5","5","5","5","5","65","250","348","475","275","280","300","302","320","301","280","440","512","548","","",
"Bangladesh","BGD","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","49237","50569","51944","53362","54824","58030","57897","59519","59460","62927","64716","68080","68508","70525","70970","73340","77063","77230","82760","87360","91030","96780","101630","107000","117025","123811","144723","166100","175925","183505","192592","210993","226863","237743","264190","317073","379087","485864","574812","593202","657120","712640","786604","856956","914752","882091","892049","945812","1005542","1064285","1308515","1523759","1726066","1859808","1956925","2060408","2203554","2333352","2405416","","",
"Bulgaria","BGR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","900","900","1000","800","4100","5100","4400","6800","5900","5800","5600","5300","4600","4900","5800","6188","6250","8134","7767","10042","11500","12720","14636","12919","14571","10560","12138","12647","12141","11615","7849","7798","8132","7897","6100","4615","4727","5437","4252","7780","3654","2938","2308","4465","2489","3145","3257","4032","5157","6722.5380859375","7920.6171875","5527.1748046875","5975.06005859375","12151.650390625","11171.794921875","13536.548828125","15762.1591796875","15752.154296875","16341.82421875","","",
"Bahrain","BHR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","1","3","12","0","3","4","8","3","2","1","2","2","3.18700003623962","3.42400002479553","1.72499990463257","0","5.71000003814697","0","14.2119998931885","","","","",
"Bahamas, The","BHS","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","42","42","37","51","69","49","6","10","8","4","24","1","1","1","1","2","13","25","52","30","85","52","30","20","17","1","1","1","1","9.35000038146973","9.32999992370605","9","6","6.84000015258789","","",
"Bosnia and Herzegovina","BIH","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4685","6635","6394","7070","7621","7442","7589","7620","7620","4970.2001953125","3638.30004882813","2923.5","3397","4450.60009765625","4563.60009765625","3760.39990234375","3638.80004882813","","",
"Belarus","BLR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16152","17817","16638","14750","8415","7018","6934","5463","6038","4322","4727","4824","6716","4666","6523","5393","4150","5648","8406","14091","14636","15659","16265","16293","15499","13548","10658","9130.900390625","11199","10353.5","11580.900390625","","",
"Belize","BLZ","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","0","0","23","0","0","542","99","158","301","602","656","950","1004","1397","1642","3163","3630","4460","4400","10160","11426","11078","7624","3172","4528","5725","7410.7001953125","5102","5879.60009765625","7150","7212.76025390625","4203","1148","563","563","","",
"Bermuda","BMU","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","95","348","515","200","266","649","617","616","380","387","385","398","405","320","418","375","450","430","455","585","631","775","856","966","1060","1076","1400","2987.5","3250","3500","3500","","",
"Brazil","BRA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","10","19","27","50","93","158","286","433","780","1132","1687","3737","5794","7586","9168","10700","10873","10990","13140","15559","18170","20490","23390","29820","30390","30915","46202","77690","87676","103915","140657","172450","205568","247678","273268","269699","257784","271697","289048","331553","365127","411777","436084","480880","477752","564230","575230","590730","595730","605730","","",
"Barbados","BRB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","10.5","10.5","14.5","20.5","20.5","25.5","25.5","25.5","","",
"Brunei Darussalam","BRN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2","2","2","6","1","17","36","72","103","119","157","172","194","113","99","157","160","709","454","475","622","473","433","499.980010986328","530","550","560.849975585938","711.070007324219","983.140014648438","947.630004882813","1632","1116.48706054688","","",
"Bhutan","BTN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","12","31","35","35","30","30","30","30","30","30","30","30","30","30","30","40","40","40","40","46","46","46","75","78.3399963378906","69.8000030517578","139","149","185","222","223.619995117188","","",
"Botswana","BWA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","15","15","15","","",
"Central African Republic","CAF","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","0","0","0","0","0","5","15","30","47","64","80","94","111","128","309","288","193","88","79","82","105","105","338","301","255","210","150","80","80","117","120","125","125","125","125","125","140","140","140","140","170","170","182","180","180","180","190","190","190","","",
"Canada","CAN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","2975","2990","3100","3215","3230","3242","3258","3275","3394","3405","3591","3893","4561","5333","4583","4129","3943","3897","4038","3458","3566","4074","3421","4289","7720","8798","12678","16890","23622","32451","41216","48068","45386","52442","55430","65207","72376","81676","91046","112916","127665","153046","172046","167798","145018","154587","171629","152486","155549","155928","162341","169706","184910","168015","139732","187374","200765","191616","191323","","",
"Central Europe and the Baltics","CEB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","32700","36500","35950","38250","44810","45930","47399","53857","52564","54405","53783","56665","69114","68181","74647","75053","80124","81893","76511","76144","78382","92256","97358","90926","96160","91388","95363","91250","113821","117474","94636","90076","90085","87825","89994","86562","79508","79981","80857","91920","93027","98030","88699","95587","95047","100003","103950","107757","111253","112214.987976074","102102.077270508","98801.9953918457","101779.179443359","111719.283874512","118591.216308594","123685.34185791","129701.817504883","133130.25970459","139338.398132324","","",
"Switzerland","CHE","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","5","10","15","25","40","60","90","130","170","200","220","250","272","270","271","252","254","1180","1070","1230","1230","1135","1235","1161","1161","1150","1150","1135","1100","1135","1135","1100","1205","1214","1214","1216","1216","1249","1261","1466","1471","1593","1593","1593","1733","1733","1743","","",
"Channel Islands","CHI","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","0","0","15","25","13","13","67","67","50","81","103","114","191","130","196","249","390","487","580","684","775","650","660","791","972","1024.6","1130.2","1091.1","882.243","972.13","1316.75","1768.2","1498.65","","","","",
"Chile","CHL","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","80","80","90","100","110","120","230","144","183","201","183","212","258","370","443","543","736","818","1093","1514","2088","2789","5316","1972","8611","7497","9941","13936","32349","51510","70464","105258","116281","135090","183747","206266","323115","375113","361430","305494","425058","631634","617303","607338","696157","739368","832329","806166","870845","881084","713241","969539","1075547","1045718","1227359","1057742","1050117","1219747.125","1287232.5","","",
