"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","29553100","45139700","84469273.7430167","107150837.988827","155474860.335196","878770949.72067","1107541899.44134","1208826815.64246","1357094972.06704","1347206703.91061","1733184357.5419","1724748603.35196","1164804469.27374","1389441340.78212","2523519553.07263","2423128491.62011","1487821229.05028","2051843575.41899","3434636871.50838","4416201117.31844","4716033519.55307","5206256983.24022","5456201117.31844","1951787709.49721","264636871.50838","5180112000","1388994000","278994000","258939000","334134000","300000000","","","","",
"Africa Eastern and Southern","AFE","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","4404233599.67455","4412941921.17663","4663306164.36129","5220638740.49411","5671294378.2265","5865054531.64767","6370137178.76804","6652069087.39772","7198516261.65295","8033426585.66441","8463399959.82937","8902081655.49641","9607455697.16451","13568653440.421","18361495887.1256","17094435108.5737","16543633773.5674","19934436458.438","22635104664.2691","31069114039.0289","41340579250.7267","34606500058.4284","30440679586.7295","31102137240.8921","30241508502.2749","28902869160.9665","31452259041.986","36490239209.8232","39024953326.725","40550184526.1014","42782997209.7246","41134070284.2132","41128828939.8854","42241636673.0427","44531170474.3128","50006142607.7846","54535961657.1623","56627453404.2263","48527638171.358","50098352664.7693","57936207508.4763","55930638769.0572","59653619819.818","71400971511.3687","91910374299.5875","113236045660.433","134200211684.236","167720663081.32","207545977124.738","154584921327.214","211590645533.389","256771477772.822","246700672571.904","243865213319.622","234107712744.141","181276589299.64","169953613438.531","198384698394.988","216888532443.788","199391674130.925","179025825635.966",
"Afghanistan","AFG","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","50000000","53000000","58000000","70000000","64000000","74000000","67000000","66000000","72000000","82000000","86000000","100000000","122000000","143000000","230000000","217000000","291000000","306000000","321000000","474000000","670000000","694000000","708000000","729000000","633000000","567000000","552000000","512000000","395000000","236000000","235000000","189000000","181000000","688000000","105000000","166000000","128000000","144000000","159000000","166000000","137000000","68000000","100000000","144000000","305000000","384000000","416000000","454000000","540000000","403000000","388000000","376000000","429000000","515000000","570000000","571000000","596000000","723000000","875000000","864000000","783000000",
"Africa Western and Central","AFW","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","1585000000","1646000000","1620000000","1821000000","2124000000","2301000000","2375000000","2313000000","2497000000","2902000000","3459000000","4060000000","4730000000","6988000000","14402000000","13229000000","16934000000","19798000000","18098000000","27317000000","38234000000","28572000000","22427000000","20176000000","22327000000","23190000000","15510000000","18098000000","17184000000","22101000000","27434000000","24685000000","25228000000","22647000000","22389000000","28845000000","34069000000","33198000000","26634000000","31386000000","39059000000","36380000000","38730000000","48903000000","70669000000","90665000000","106252000000","119837000000","157215000000","113875000000","150095000000","204483000000","200079000000","179797000000","188145000000","114757000000","94949000000","116022000000","142276000000","140033000000","104000000000",
"Angola","AGO","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","124000000","135000000","148000000","163000000","204000000","200000000","221000000","238000000","271000000","326000000","423000000","455000000","479000000","792000000","1202000000","1012000000","619000000","786000000","968000000","1091000000","1883000000","1856000000","1629000000","1822000000","2033000000","2245000000","1332000000","2168000000","2516000000","3015000000","3910000000","3410000000","3755000000","3762000000","3018000000","3642000000","5095000000","5007000000","3543000000","5157000000","7921000000","6534000000","8328000000","9508000000","13475000000","24109000000","31862000000","44396000000","63914000000","40828000000","50595000000","67310000000","71093000000","68247000000","59170000000","33181000000","27589000000","34613000000","40758000000","34726000000","20978000000",
"Albania","ALB","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","49000000","49000000","41000000","48000000","60000000","","","","","","","","","","","","","","","","","","","","","","","","258000000","305000000","230000000","100000000","70000000","122000000","140000000","202000000","207000000","139000000","205000000","351000000","261000000","307000000","340000000","448000000","605000000","659000000","790000000","1079000000","1027000000","1091000000","1544000000","1947000000","1967000000","2339000000","2429000000","1917000000","1959000000","2292000000","2870000000","2716000000","2506000000",
"Andorra","AND","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95000000","90000000","97000000","118000000","129000000","126000000","116000000",
"Arab World","ARB","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","4661121615.62107","4601081405.88786","4862256318.2273","6124101392.78681","6805557773.25867","7242850634.14884","7942319077.54067","8316569718.21097","9901631255.16756","10894296056.0899","11923985653.0143","15500380812.7888","18858629877.1994","28227904606.0659","83937213877.1814","76725384018.0614","92841176980.6156","101860217152.705","100254141542.342","159815030267.842","238143487885.78","226542718695.163","169557554967.217","129342622487.917","122192834178.855","112910617754.101","79137999779.174","91309150962.2566","92336839218.8566","116237846043.483","142151200564.334","127234210456.119","133711548416.17","127004056318.809","131531088132.692","149549155073.627","179806418768.675","187641666138.858","142372348670.184","178394473169.782","262678919593.254","235710858721.423","245447379399.825","300190041294.236","403063937321.27","557536389593.019","676490054456.767","791163853036.7","1080528644516.04","739259091722.345","927453127790.749","1244097188562.37","1400640027399.75","1384481205620.22","1256854732460.51","866595370535.011","793613493593.815","913721931824.765","1159793729405.81","1090166098848.38","772246183619.93",
"United Arab Emirates","ARE","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","2000000","2000000","10000000","35000000","125000000","190000000","241000000","262000000","335000000","407000000","523000000","871000000","1157000000","1807000000","6414000000","7262000000","9535000000","9636000000","9126000000","13652000000","21970000000","22380000000","18780000000","16900000000","16500000000","16780000000","10640000000","12380000000","12040000000","17596000000","23544000000","24436000000","24756000000","25620000000","26403000000","28364000000","37334000000","40423000000","33837000000","36474000000","49835000000","48414000000","52163000000","67135000000","90997000000","117287000000","145587000000","178630000000","239213000000","191802000000","213539000000","302037000000","359728000000","374214000000","343036000000","300477000000","295031000000","313547000000","387910000000","389373000000","306407000000",
"Argentina","ARG","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","1079000000","964000000","1216000000","1365000000","1410000000","1493000000","1593000000","1465000000","1368000000","1612000000","1773000000","1740000000","1941000000","3266000000","3931000000","2961000000","3916000000","5652000000","6400000000","7810000000","8021000000","9143000000","7625000000","7836000000","8107000000","8396000000","6852000000","6360000000","9135000000","9579000000","12353000000","11978000000","12235000000","13118000000","15659000000","20967000000","23811000000","26370000000","26441000000","23333000000","26341000000","26543000000","25650000000","29566000000","34576000000","40351000000","46546000000","55779000000","70018000000","55672000000","68187000000","84051000000","79982000000","75963000000","68405000000","56784000000","57910000000","58644000000","61781000000","65116000000","54884000000",
"Armenia","ARM","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83000000","156000000","216000000","271000000","290000000","233000000","221000000","232000000","294000000","343000000","505000000","686000000","723000000","974000000","985000000","1152000000","1057000000","710000000","1011000000","1334000000","1380000000","1480000000","1519000000","1485000000","1792000000","2245000000","2412000000","2640000000","2544000000",
"American Samoa","ASM","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","8000000","9000000","11000000","17000000","13000000","15000000","20000000","27000000","30000000","28000000","125000000","127000000","199000000","67000000","83000000","50000000","65000000","81000000","104000000","125000000","127000000","199000000","187000000","177000000","212000000","201000000","254000000","288000000","368000000","308000000","311000000","327000000","316000000","481000000","252000000","272000000","313000000","424000000","415000000","345000000","346000000","318000000","388000000","460000000","446000000","374000000","439000000","331000000","337000000","484000000","320000000","300000000","422000000","388000000","346000000","379000000","388000000","397000000","513000000","437000000","431000000",
"Antigua and Barbuda","ATG","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","2000000","2000000","3000000","4000000","2000000","1000000","0","1000000","7000000","6000000","11000000","16000000","18000000","26000000","29000000","20000000","9000000","7000000","13000000","37000000","26000000","40000000","21000000","20000000","18000000","17000000","20000000","19000000","17000000","16000000","21000000","50000000","65000000","62000000","44000000","53000000","38000000","38000000","36000000","38000000","52000000","41000000","39000000","45000000","57000000","83000000","74000000","59000000","65000000","51000000","46000000","56000000","63000000","69000000","99000000","66000000","61000000","21000000","26000000","38000000","20000000",
"Australia","AUS","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","2050000000","2363000000","2356000000","2805000000","3053000000","3005000000","3171000000","3478000000","3526000000","4220000000","4770000000","5213000000","6461000000","9559000000","11016000000","11948000000","13193000000","13367000000","14416000000","18663000000","21944000000","21477000000","21360000000","20113000000","23111000000","22604000000","22569000000","26621000000","33233000000","37125000000","39752000000","41854000000","42824000000","42723000000","47528000000","53111000000","60301000000","62910000000","55893000000","56080000000","63870000000","63387000000","65033000000","70377000000","86565000000","106097000000","123437000000","141358000000","187257000000","154331000000","212634000000","271733000000","256675000000","252981000000","239975000000","187684000000","192505000000","231131000000","257098000000","271005000000","250352000000",
"Austria","AUT","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","1120000000","1202000000","1264000000","1326000000","1446000000","1600000000","1684000000","1809000000","1989000000","2412000000","2857000000","3168000000","3883000000","5283000000","7161000000","7519000000","8506000000","9808000000","12175000000","15481000000","17489000000","15841000000","15642000000","15427000000","15739000000","17239000000","22508000000","27168000000","31027000000","31906000000","41265000000","41111000000","44537000000","40685000000","45002000000","57738000000","58222000000","59784000000","64085000000","66061000000","67710000000","70751000000","78673000000","97146000000","118376000000","125182000000","136751000000","163620000000","181289000000","136989000000","152560000000","177428000000","166611000000","175156000000","178223000000","152728000000","152090000000","168026000000","184815000000","178670000000","168940000000",
"Azerbaijan","AZE","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1571000000","993000000","655000000","635000000","630000000","780000000","605000000","929000000","1745000000","2314000000","2167000000","2592000000","3615000000","7649000000","13015000000","21269000000","30586000000","21097000000","26476000000","34495000000","32634000000","31703000000","28260000000","16592000000","13108000000","15481000000","20317000000","19636000000","13741000000",
"Burundi","BDI","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","7000000","8000000","9000000","9000000","9000000","9000000","10000000","14000000","15000000","12000000","24000000","19000000","26000000","30000000","31000000","32000000","61000000","90000000","69000000","104000000","65000000","75000000","88000000","80000000","103000000","112000000","154000000","91000000","133000000","78000000","75000000","90000000","72000000","68000000","120000000","105000000","39000000","86000000","65000000","54000000","50000000","39000000","30000000","38000000","47000000","58000000","58000000","59000000","57000000","67000000","101000000","123000000","134000000","94000000","132000000","121000000","125000000","172000000","180000000","180000000","205000000",
